Country,co2_tonnes,Carbon_yearData
CHINA,10773248000.0,2019
UNITED STATES,5144361000.0,2019
INDIA,2314738000.0,2019
RUSSIA,1848070000.0,2019
JAPAN,1103234000.0,2019
GERMANY,726881000.0,2019
"KOREA, SOUTH",686954000.0,2019
IRAN,646038000.0,2019
CANADA,612084000.0,2019
SAUDI ARABIA,579925000.0,2019
INDONESIA,563543000.0,2019
SOUTH AFRICA,470358000.0,2019
MEXICO,463739000.0,2019
BRAZIL,456670000.0,2019
AUSTRALIA,417870000.0,2019
UNITED KINGDOM,398084000.0,2019
TURKEY (TURKIYE),391792000.0,2019
FRANCE,338425000.0,2019
ITALY,332041000.0,2019
THAILAND,305273000.0,2019
POLAND,304040000.0,2019
SPAIN,280624000.0,2019
TAIWAN,279206000.0,2019
UNITED ARAB EMIRATES,276236000.0,2019
KAZAKHSTAN,263689000.0,2019
MALAYSIA,254764000.0,2019
VIETNAM,249929000.0,2019
SINGAPORE,238983000.0,2019
EGYPT,235137000.0,2019
NETHERLANDS,214416000.0,2019
PAKISTAN,193869000.0,2019
ARGENTINA,193205000.0,2019
UKRAINE,185686000.0,2019
ALGERIA,151633000.0,2019
IRAQ,143479000.0,2019
PHILIPPINES,142282000.0,2019
BELGIUM,128247000.0,2019
QATAR,111922000.0,2019
TURKMENISTAN,109037000.0,2019
NIGERIA,104494000.0,2019
VENEZUELA,103708000.0,2019
UZBEKISTAN,102965000.0,2019
CZECHIA,99533000.0,2019
BANGLADESH,96180000.0,2019
KUWAIT,92582000.0,2019
HONG KONG,92493000.0,2019
CHILE,88333000.0,2019
COLOMBIA,81007000.0,2019
OMAN,76321000.0,2019
GREECE,70163000.0,2019
ROMANIA,68746000.0,2019
AUSTRIA,65540000.0,2019
ISRAEL,61092000.0,2019
MOROCCO,60200000.0,2019
PERU,54996000.0,2019
BELARUS,54695000.0,2019
PORTUGAL,50370000.0,2019
HUNGARY,48589000.0,2019
SWEDEN,48144000.0,2019
SERBIA,47735000.0,2019
BAHRAIN,43112000.0,2019
FINLAND,41996000.0,2019
LAOS,40726000.0,2019
NEW ZEALAND,40344000.0,2019
